ticker,volume,open,close,high,low,time,transactions
AAPL,4191,210.35,210.10,210.35,209.90,1751961600000,202
AAPL,2152,210.20,210.15,210.20,210.15,1751961720000,85
AAPL,1470,210.25,210.21,210.29,210.21,1751961780000,62
AAPL,3504,210.29,210.30,210.31,210.29,1751961840000,91
AAPL,2497,210.37,210.38,210.38,210.36,1751961900000,98
AAPL,979,210.49,210.49,210.49,210.49,1751961960000,27
AAPL,768,210.32,210.30,210.32,210.30,1751962020000,20
AAPL,2223,210.30,210.46,210.46,210.30,1751962140000,34
AAPL,1281,210.46,210.31,210.46,210.31,1751962200000,32
AAPL,511,210.38,210.38,210.38,210.38,1751962260000,17
AAPL,1828,210.42,210.30,210.42,210.30,1751962380000,40
AAPL,729,210.30,210.35,210.36,210.30,1751962440000,12
AAPL,937,210.31,210.32,210.32,210.31,1751962620000,25
AAPL,365,210.36,210.35,210.36,210.35,1751962680000,13
AAPL,816,210.30,210.29,210.30,210.29,1751962860000,33
AAPL,916,210.21,210.20,210.21,210.20,1751962920000,50
AAPL,936,210.12,210.12,210.12,210.12,1751962980000,26
AAPL,1835,210.20,210.22,210.22,210.20,1751963100000,28
AAPL,1892,210.25,210.30,210.30,210.25,1751963160000,28
AAPL,2174,210.30,210.26,210.30,210.25,1751963220000,42
AAPL,799,210.30,210.29,210.30,210.29,1751963280000,24
AAPL,841,210.25,210.25,210.29,210.25,1751963400000,16
AAPL,691,210.30,210.28,210.30,210.28,1751963460000,21
AAPL,791,210.25,210.26,210.26,210.25,1751963520000,30
AAPL,249,210.26,210.26,210.26,210.26,1751963580000,6
AAPL,4038,210.25,210.25,210.25,210.23,1751963640000,33
AAPL,489,210.25,210.25,210.25,210.25,1751963700000,9
AAPL,299,210.27,210.27,210.27,210.27,1751963760000,10
AAPL,2056,210.25,210.23,210.25,210.23,1751963820000,32
AAPL,469,210.20,210.20,210.20,210.20,1751963880000,13
AAPL,415,210.17,210.17,210.17,210.17,1751963940000,16
AAPL,473,210.16,210.16,210.16,210.16,1751964000000,17
AAPL,160,210.20,210.20,210.20,210.20,1751964060000,9
AAPL,1633,210.22,210.28,210.28,210.20,1751964240000,32
AAPL,2601,210.21,210.22,210.29,210.20,1751964300000,48
AAPL,568,210.30,210.36,210.36,210.30,1751964420000,25
AAPL,513,210.45,210.45,210.45,210.45,1751964600000,14
AAPL,436,210.42,210.42,210.42,210.42,1751964660000,17
AAPL,1716,210.40,210.40,210.40,210.40,1751964840000,68
AAPL,964,210.39,210.39,210.39,210.39,1751964960000,20
AAPL,319,210.36,210.36,210.36,210.36,1751965020000,8
AAPL,157,210.39,210.39,210.39,210.39,1751965080000,3
AAPL,589,210.44,210.44,210.44,210.44,1751965140000,15
AAPL,623,210.44,210.44,210.44,210.44,1751965200000,19
AAPL,1872,210.37,210.28,210.37,210.28,1751965260000,71
AAPL,750,210.32,210.38,210.38,210.31,1751965500000,12
AAPL,918,210.30,210.30,210.30,210.30,1751965680000,22
AAPL,1078,210.28,210.28,210.28,210.28,1751965740000,14
AAPL,383,210.36,210.36,210.36,210.36,1751965860000,19
AAPL,276,210.29,210.29,210.29,210.29,1751966100000,13
AAPL,4155,210.28,210.21,210.28,210.21,1751966460000,112
AAPL,421,210.20,210.20,210.20,210.20,1751966520000,14
AAPL,178,210.15,210.15,210.15,210.15,1751966700000,13
AAPL,225,210.17,210.17,210.17,210.17,1751967000000,6
AAPL,648,210.12,210.10,210.12,210.10,1751967120000,33
AAPL,2700,210.03,210.03,210.03,210.03,1751967180000,37
AAPL,658,210.10,210.07,210.10,210.07,1751967240000,12
AAPL,633,210.07,210.08,210.08,210.07,1751967300000,11
AAPL,979,210.07,210.05,210.07,210.05,1751967720000,33
AAPL,510,210.08,210.08,210.08,210.08,1751967840000,18
AAPL,1367,210.17,210.24,210.24,210.17,1751967900000,33
AAPL,2767,210.23,210.22,210.23,210.22,1751967960000,56
AAPL,555,210.09,210.09,210.09,210.09,1751968200000,12
AAPL,1005,210.05,210.05,210.05,210.05,1751968260000,41
